politician,polltype,subgroup,start_date,end_date,pollster_rating_name,sample_size,raw_sample_size,population,weight,approve,disapprove,approve_adjusted,disapprove_adjusted,tracking,url,poll_id,question_id,created_at,timestamp,pollster_rating_id,subpopulation
Joe Biden,potus-approve,All polls,2024-02-01,2024-02-07,Rasmussen Reports,1500,1500,lv,0.7250947216849343,42,57,40.53591844812355,54.263885742652384,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85905,191957,2024-02-08,2024-02-08T16:31:06Z,277,NA
Joe Biden,potus-approve,All polls,2024-02-04,2024-02-06,YouGov,1591,1591,a,0.5280428983412319,42,55,41.811355686811886,55.72123388150526,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_PJ4ynwY.pdf,85859,191795,2024-02-07,2024-02-08T16:31:06Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-30,2024-02-05,Morning Consult,7062,45000,a,1.4039495191663738,37,55,35.83794215693734,56.30701675481787,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,85860,191797,2024-02-07,2024-02-08T16:31:06Z,218,NA
Joe Biden,potus-approve,All polls,2024-01-31,2024-02-02,TIPP Insights,1402,1402,a,0.9913753559524088,36,54,36.16183059739699,58.87678297018339,NA,https://tippinsights.com/bidens-lackluster-report-card-an-albatross-for-reelection/,85841,191721,2024-02-05,2024-02-08T16:31:06Z,144,NA
Joe Biden,potus-approve,All polls,2024-01-29,2024-02-01,Marist College,1582,1582,a,1.0530945169781532,40,54,39.74545368808445,55.18784830788141,NA,https://maristpoll.marist.edu/polls/the-road-to-the-general-election/,85861,191798,2024-02-07,2024-02-08T16:31:06Z,183,NA
Joe Biden,potus-approve,All polls,2024-01-31,2024-02-01,RMG Research,1000,1000,rv,0.59203736110449,40,58,39.06566124056903,57.20613519412983,NA,https://twitter.com/ScottWRasmussen/status/1754582996366025179?s=20,85845,191746,2024-02-05,2024-02-08T16:31:06Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-31,McLaughlin & Associates,1000,1000,lv,0.8372672655055472,42,55,39.3194723280474,53.2069449371756,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2024/02/National-January-Presentation-RELEASE-2-1-24.pdf,85835,191687,2024-02-03,2024-02-08T16:31:06Z,203,NA
Joe Biden,potus-approve,All polls,2024-01-01,2024-01-31,ActiVote,518,518,rv,0.6025998120424007,35.3,56.9,36.14918488795206,56.483649252561506,NA,https://www.activote.net/activote_polling/,85832,191642,2024-02-02,2024-02-08T16:31:06Z,721,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-31,Rasmussen Reports,1500,1500,lv,0.7250947216849343,45,54,43.53591844812355,51.263885742652384,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85800,191572,2024-02-01,2024-02-08T16:31:06Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-30,YouGov,1064,1064,a,0.43182216484795943,39,57,38.811355686811886,57.72123388150526,NA,https://polsci.umass.edu/state-nation-toplines-crosstabs-feb-6-2024,85842,191761,2024-02-06,2024-02-08T16:31:06Z,391,NA
